#g_name	taxID
FUN_00001	388435
FUN_05244	1520881
FUN_05243	116794
FUN_05241	388435
FUN_05240	388435
FUN_05239	1520881
FUN_05238	716546
FUN_05237	1520881
FUN_05236	388435
FUN_05235	78060
FUN_05234	1520881
FUN_05233	1520881
FUN_05232	716546
FUN_05229	1520881
FUN_05228	716546
FUN_05246	388435
FUN_05226	1520881
FUN_05224	716546
FUN_05223	1520881
FUN_05222	716546
FUN_05221	388435
FUN_05220	388435
FUN_05219	1520881
FUN_05218	1520881
FUN_05217	388435
FUN_05216	1520881
FUN_05215	716546
FUN_05214	388435
FUN_05213	388435
FUN_05212	716546
FUN_05211	716546
FUN_05225	1520881
FUN_05247	388435
FUN_05248	1520881
FUN_05249	1520881
FUN_05282	716546
FUN_05281	716546
FUN_05280	1520881
FUN_05279	716546
FUN_05277	147541
FUN_05276	716546
FUN_05275	1520881
FUN_05274	5580
FUN_05273	388435
FUN_05272	1520881
FUN_05271	716546
FUN_05270	451871
FUN_05269	716546
FUN_05268	716546
FUN_05267	716546
FUN_05266	1520881
FUN_05265	50934
FUN_05250	1520881
FUN_05251	1520881
FUN_05252	1520881
FUN_05253	716546
FUN_05254	78060
FUN_05255	2732470
FUN_05210	1520881
FUN_05256	716546
FUN_05258	716546
FUN_05259	1520881
FUN_05260	1520881
FUN_05261	1520881
FUN_05262	116794
FUN_05263	716546
FUN_05257	1520881
FUN_05209	716546
FUN_05207	5178
FUN_05206	716546
FUN_05168	1520881
FUN_05166	116794
FUN_05163	388435
FUN_05162	716546
FUN_05161	716546
FUN_05160	716546
FUN_05159	78060
FUN_05158	78060
FUN_05157	388435
FUN_05155	716546
FUN_05154	1520881
FUN_05153	388435
FUN_05152	716546
FUN_05151	112415
FUN_05150	716546
FUN_05149	180999
FUN_05148	388435
FUN_05130	1520881
FUN_05131	716546
FUN_05133	1520881
FUN_05134	1520881
FUN_05136	1520881
FUN_05137	716546
FUN_05169	1520881
FUN_05139	50934
FUN_05141	716546
FUN_05142	716546
FUN_05143	1576542
FUN_05144	716546
FUN_05146	1520881
FUN_05147	1520881
FUN_05140	2732470
FUN_05283	1520881
FUN_05170	1520881
FUN_05172	1520881
FUN_05205	716546
FUN_05204	5178
FUN_05203	716546
FUN_05202	716546
FUN_05201	716546
FUN_05200	5185
FUN_05199	716546
FUN_05198	1520881
FUN_05197	50934
FUN_05196	157822
FUN_05195	1520881
FUN_05194	1520881
FUN_05193	716546
FUN_05192	388435
FUN_05191	716546
FUN_05190	147538
FUN_05189	147538
FUN_05173	716546
FUN_05174	388435
FUN_05175	1520881
FUN_05176	716546
FUN_05177	716546
FUN_05178	388435
FUN_05171	1520881
FUN_05179	1520881
FUN_05181	716546
FUN_05182	78060
FUN_05184	1520881
FUN_05185	716546
FUN_05186	78060
FUN_05188	78060
FUN_05180	560253
FUN_05284	1520881
FUN_05285	716546
FUN_05286	112415
FUN_05404	388435
FUN_05403	388435
FUN_05402	388435
FUN_05401	716546
FUN_05400	78060
FUN_05399	1520881
FUN_05398	1520881
FUN_05397	78060
FUN_05396	716546
FUN_05394	716546
FUN_05393	716546
FUN_05392	716546
FUN_05391	1520881
FUN_05390	1520881
FUN_05389	1520881
FUN_05388	1328760
FUN_05387	1520881
FUN_05371	180999
FUN_05372	1520881
FUN_05373	716546
FUN_05374	1520881
FUN_05375	716546
FUN_05376	354080
FUN_05405	1520881
FUN_05378	388435
FUN_05381	716546
FUN_05382	388435
FUN_05383	716546
FUN_05384	388435
FUN_05385	716546
FUN_05386	1520881
FUN_05380	388435
FUN_05370	147548
FUN_05406	1520881
FUN_05408	716546
FUN_05445	116794
FUN_05444	1520881
FUN_05443	1670608
FUN_05442	716546
FUN_05441	1520881
FUN_05440	716546
FUN_05438	1520881
FUN_05436	331657
FUN_05435	716546
FUN_05431	716546
FUN_05430	1520881
FUN_05429	78060
FUN_05428	716546
FUN_05427	1520881
FUN_05426	2738368
FUN_05425	716546
FUN_05424	1520881
FUN_05409	112416
FUN_05410	1520881
FUN_05411	388435
FUN_05412	716546
FUN_05413	78060
FUN_05414	78060
FUN_05407	78060
FUN_05415	716546
FUN_05417	147548
FUN_05419	716546
FUN_05420	716546
FUN_05421	388435
FUN_05422	716546
FUN_05423	1520881
FUN_05416	716546
FUN_05129	716546
FUN_05369	716546
FUN_05367	78060
FUN_05324	716546
FUN_05323	1520881
FUN_05322	716546
FUN_05321	716546
FUN_05319	716546
FUN_05317	388435
FUN_05316	388435
FUN_05315	116821
FUN_05314	716546
FUN_05313	1520881
FUN_05312	1520881
FUN_05311	147538
FUN_05310	716546
FUN_05309	1263415
FUN_05308	2732470
FUN_05307	716546
FUN_05306	716546
FUN_05287	78060
FUN_05288	715340
FUN_05289	716546
FUN_05290	116794
FUN_05291	716546
FUN_05292	1763456
FUN_05325	78060
FUN_05293	1520881
FUN_05295	1520881
FUN_05296	1520881
FUN_05297	716546
FUN_05299	716546
FUN_05304	157822
FUN_05305	716546
FUN_05294	1520881
FUN_05368	716546
FUN_05326	78060
FUN_05328	1520881
FUN_05366	1520881
FUN_05365	78060
FUN_05364	716546
FUN_05363	50934
FUN_05359	716546
FUN_05358	1520881
FUN_05357	1520881
FUN_05356	34368
FUN_05355	1520881
FUN_05354	1520881
FUN_05352	1520881
FUN_05351	1520881
FUN_05349	388435
