#g_name	taxID
gene1	1457286
gene38005	1457286
gene38006	1457286
gene38007	1206794
gene38008	1457286
gene38009	1206794
gene38010	241478
gene38011	33213
gene38012	33317
gene38013	1206794
gene38014	1457286
gene38015	1206794
gene38016	1206794
gene38017	1206794
gene38018	6231
gene38019	1206794
gene38020	1206794
gene38021	10195
gene38022	1206794
gene38023	10195
gene38024	1206794
gene38025	6231
gene38026	6231
gene38027	1206794
gene38004	1206794
gene38028	1206794
gene38003	1457286
gene38001	1457286
gene37978	6843
gene37979	6656
gene37980	6231
gene37981	6231
gene37982	1457286
gene37983	218467
gene37984	1206794
gene37985	1457286
gene37986	119089
gene37987	1206794
gene37988	6231
gene37989	1457286
gene37990	6231
gene37991	241478
gene37992	6656
gene37993	6231
gene37994	1457286
gene37995	2697495
gene37996	1206794
gene37997	6231
gene37998	1206794
gene37999	6231
gene38000	1206794
gene38002	119089
gene37977	33213
gene38029	1206794
gene38031	1457286
gene38060	6329
gene38061	1457286
gene38062	1457286
gene38063	1206794
gene38064	6656
gene38065	6231
gene38066	1457286
gene38067	8665
gene38069	1457286
gene38070	1457286
gene38071	6231
gene38072	1206794
gene38073	6231
gene38074	1206794
gene38075	1206794
gene38076	1457286
gene38077	33213
gene38078	1206794
gene38079	1457286
gene38080	1206794
gene38081	1206794
gene38082	1457286
gene38083	1457286
gene38059	6333
gene38030	6333
gene38058	241478
gene38056	1457286
gene38032	306902
gene38033	1206794
gene38034	1457286
gene38035	241478
gene38036	6231
gene38037	1457286
gene38038	1206794
gene38039	1206794
gene38040	1457286
gene38041	6239
gene38042	6236
gene38043	1206794
gene38044	1206794
gene38045	10194
gene38046	10194
gene38047	10194
gene38048	1457286
gene38049	6236
gene38051	10194
gene38052	6236
gene38053	1206794
gene38054	33392
gene38055	1457286
gene38057	1457286
gene37975	6072
gene37974	1206794
gene37973	1457286
gene37887	6329
gene37888	6236
gene37889	1457286
gene37890	1457286
gene37891	216307
gene37892	1457286
gene37893	51543
gene37894	6231
gene37895	1206794
gene37896	1457286
gene37897	1457286
gene37898	6231
gene37899	6231
gene37900	1457286
gene37901	6329
gene37902	1206794
gene37903	33317
gene37904	44578
gene37905	33213
gene37906	6231
gene37907	1457286
gene37908	6656
gene37909	1457286
gene37886	1206794
gene37910	6231
gene37885	7742
gene37883	1206794
gene37857	6231
gene37859	6231
gene37860	33317
gene37861	1457286
gene37862	1206794
gene37863	1457286
gene37864	6333
gene37865	1206794
gene37867	1457286
gene37868	1457286
gene37869	1457286
gene37870	6236
gene37871	1457286
gene37872	1457286
gene37873	1457286
gene37874	1457286
gene37875	1457286
gene37876	6329
gene37877	6329
gene37878	1206794
gene37879	6186
gene37880	1206794
gene37882	1206794
gene37884	6329
gene37911	6236
gene37912	6231
gene37914	1457286
gene37943	1457286
