#g_name	taxID
maker-scaffold1-snap-gene-0.242	
maker-scaffold1-augustus-gene-0.217	36668
snap_masked-scaffold1-processed-gene-0.185	
maker-scaffold1-snap-gene-0.234	
augustus_masked-scaffold1-processed-gene-0.198	
maker-scaffold1-snap-gene-0.236	1159321
genemark-scaffold1-processed-gene-0.119	1159319
maker-scaffold1-augustus-gene-0.220	1159319
genemark-scaffold1-processed-gene-0.135	1159319
maker-scaffold1-augustus-gene-0.228	1159321
genemark-scaffold1-processed-gene-0.145	1159319
snap_masked-scaffold1-processed-gene-0.179	1159319
maker-scaffold1-augustus-gene-0.230	1159319
maker-scaffold1-snap-gene-0.239	1159319
genemark-scaffold1-processed-gene-0.153	7434
genemark-scaffold1-processed-gene-0.86	7400
maker-scaffold1-augustus-gene-0.231	1159321
maker-scaffold1-snap-gene-0.240	63436
maker-scaffold1-augustus-gene-0.224	1159319
maker-scaffold1-augustus-gene-0.232	1159319
maker-scaffold1-augustus-gene-1.15	1159319
genemark-scaffold1-processed-gene-1.102	40307
maker-scaffold1-snap-gene-1.134	411798
genemark-scaffold1-processed-gene-1.42	63436
genemark-scaffold1-processed-gene-1.111	1159321
maker-scaffold1-augustus-gene-1.22	1159319
genemark-scaffold1-processed-gene-1.58	1159319
genemark-scaffold1-processed-gene-1.61	1159319
genemark-scaffold1-processed-gene-1.62	1159319
genemark-scaffold1-processed-gene-1.63	1159319
maker-scaffold1-augustus-gene-1.23	1159321
maker-scaffold1-snap-gene-1.126	63436
snap_masked-scaffold1-processed-gene-1.9	40307
maker-scaffold1-augustus-gene-1.21	1159319
genemark-scaffold1-processed-gene-2.89	1159319
maker-scaffold1-snap-gene-2.15	1159319
maker-scaffold1-augustus-gene-2.39	1159319
maker-scaffold1-augustus-gene-2.40	1159319
maker-scaffold1-snap-gene-2.16	1159321
maker-scaffold1-augustus-gene-2.31	1955251
maker-scaffold1-augustus-gene-2.32	1159321
maker-scaffold1-snap-gene-2.19	1159319
maker-scaffold1-augustus-gene-2.34	1159319
maker-scaffold1-augustus-gene-2.35	1159319
maker-scaffold1-snap-gene-2.22	1159321
maker-scaffold1-augustus-gene-2.37	1159319
genemark-scaffold1-processed-gene-2.175	1159319
genemark-scaffold1-processed-gene-2.185	
genemark-scaffold1-processed-gene-2.186	7400
genemark-scaffold1-processed-gene-2.189	1955251
maker-scaffold1-augustus-gene-3.28	1159321
genemark-scaffold1-processed-gene-3.111	1159321
genemark-scaffold1-processed-gene-3.113	1159321
maker-scaffold1-augustus-gene-3.33	1159321
genemark-scaffold1-processed-gene-3.120	1159321
maker-scaffold1-snap-gene-5.255	
genemark-scaffold1-processed-gene-3.72	1159319
maker-scaffold1-augustus-gene-3.29	40307
genemark-scaffold1-processed-gene-5.50	1159321
genemark-scaffold1-processed-gene-5.52	34735
maker-scaffold1-augustus-gene-5.212	1159319
maker-scaffold1-snap-gene-3.128	1159319
maker-scaffold1-snap-gene-5.259	1955251
genemark-scaffold1-processed-gene-5.78	40307
genemark-scaffold1-processed-gene-5.81	63436
maker-scaffold1-augustus-gene-4.96	1159319
maker-scaffold1-augustus-gene-5.214	1159319
augustus_masked-scaffold1-processed-gene-5.223	63436
genemark-scaffold1-processed-gene-5.133	1159319
genemark-scaffold1-processed-gene-4.59	1955251
genemark-scaffold1-processed-gene-4.61	1159319
genemark-scaffold1-processed-gene-4.62	
genemark-scaffold1-processed-gene-4.63	1159319
maker-scaffold1-augustus-gene-4.99	1159319
augustus_masked-scaffold1-processed-gene-5.228	7400
maker-scaffold1-augustus-gene-5.197	1159319
genemark-scaffold1-processed-gene-7.0	40307
maker-scaffold1-augustus-gene-7.416	1159319
genemark-scaffold1-processed-gene-5.140	1159319
maker-scaffold1-augustus-gene-5.199	1159321
maker-scaffold1-augustus-gene-7.417	1159319
maker-scaffold1-augustus-gene-5.200	40307
maker-scaffold1-augustus-gene-7.418	1159321
maker-scaffold1-augustus-gene-5.201	1159321
maker-scaffold1-snap-gene-7.363	1955251
