g_name	taxon_assignmentID	bh_evalue	fasta_header
FUN_08148	1520881	1.83e-37	FUN_08148-T1
FUN_08149	716546	4.47e-29	FUN_08149-T1
FUN_08150	1520881	2.13e-62	FUN_08150-T1
FUN_08151			FUN_08151-T1
FUN_08152	147541	1.78e-55	FUN_08152-T1
FUN_08153	1520881	0.0	FUN_08153-T1
FUN_08154	716546	5.6799999999999994e-89	FUN_08154-T1
FUN_08155	716546	3.25e-272	FUN_08155-T1
FUN_08156	1520881	1.0000000000000001e-213	FUN_08156-T1
FUN_08157	78060	4.58e-28	FUN_08157-T1
FUN_08158	1520881	0.0	FUN_08158-T1
FUN_08159	1520881	2.2e-82	FUN_08159-T1
FUN_08160	1520881	3.42e-259	FUN_08160-T1
FUN_08161	716546	8.53e-13	FUN_08161-T1
FUN_08162	1520881	3.81e-220	FUN_08162-T1
FUN_08163	1520881	1.7899999999999997e-104	FUN_08163-T1
FUN_08164	1520881	4.77e-196	FUN_08164-T1
FUN_08165	1520881	1.03e-221	FUN_08165-T1
FUN_08166	78060	3.65e-91	FUN_08166-T1
FUN_08167	112415	4.3800000000000004e-173	FUN_08167-T1
FUN_08168	1520881	0.0	FUN_08168-T1
FUN_08169			FUN_08169-T1
FUN_08170	50934	2.8200000000000002e-36	FUN_08170-T1
FUN_08171			FUN_08171-T1
FUN_08172	388435	2.56e-202	FUN_08172-T1
FUN_08173	1520881	0.0	FUN_08173-T1
FUN_08174	1520881	1.07e-147	FUN_08174-T1
FUN_08175	1520881	0.0	FUN_08175-T1
FUN_08176	1520881	9.79e-34	FUN_08176-T1
FUN_08177	388435	7.730000000000001e-163	FUN_08177-T1
FUN_08178	1520881	1.67e-118	FUN_08178-T1
FUN_08179	1520881	2.3099999999999998e-74	FUN_08179-T1
FUN_08180	1520881	6.79e-40	FUN_08180-T1
FUN_08181			FUN_08181-T1
FUN_08182			FUN_08182-T1
FUN_08183			FUN_08183-T1
FUN_08184	1520881	1.8e-114	FUN_08184-T1
FUN_08185	1520881	3.2900000000000004e-154	FUN_08185-T1
FUN_08186	716546	8.37e-187	FUN_08186-T1
FUN_08187	1520881	2.85e-108	FUN_08187-T1
FUN_08188	1520881	7.45e-90	FUN_08188-T1
FUN_08189	716546	8.13e-221	FUN_08189-T1
FUN_08190	716546	8.73e-40	FUN_08190-T1
FUN_08191	716546	4.0499999999999995e-188	FUN_08191-T1
FUN_08192	1520881	0.0	FUN_08192-T1
FUN_08193	716546	9.920000000000001e-155	FUN_08193-T1
FUN_08194			FUN_08194-T1
FUN_08195			FUN_08195-T1
FUN_08196	1520881	3.95e-57	FUN_08196-T1
FUN_08197	716546	4.6000000000000003e-160	FUN_08197-T1
FUN_08198	5052	2.1600000000000002e-29	FUN_08198-T1
FUN_08199			FUN_08199-T1
FUN_08200	1670608	1.6399999999999998e-91	FUN_08200-T1
FUN_08201			FUN_08201-T1
FUN_08202	1089448	5.39e-89	FUN_08202-T1
FUN_08203	1089448	6.42e-35	FUN_08203-T1
FUN_08204	78060	0.0	FUN_08204-T1
FUN_08205			FUN_08205-T1
FUN_08206	78060	1.0100000000000001e-173	FUN_08206-T1
FUN_08207	716546	1.0800000000000002e-43	FUN_08207-T1
FUN_08208	157822	5.4e-85	FUN_08208-T1
FUN_08209	1520881	5.43e-169	FUN_08209-T1
FUN_08210	1520881	7.809999999999999e-241	FUN_08210-T1
FUN_08211	716546	4.8e-102	FUN_08211-T1
FUN_08212	1520881	1.8200000000000002e-247	FUN_08212-T1
FUN_08213	1520881	5.750000000000001e-163	FUN_08213-T1
FUN_08214	78060	6.65e-197	FUN_08214-T1
FUN_08215			FUN_08215-T1
FUN_08216	1520881	5.73e-246	FUN_08216-T1
FUN_08217	1520881	4.44e-17	FUN_08217-T1
FUN_08218	78060	0.0	FUN_08218-T1
FUN_08219	50934	2.0600000000000002e-47	FUN_08219-T1
FUN_08220	78060	1.03e-132	FUN_08220-T1
FUN_08221	388435	7.86e-204	FUN_08221-T1
FUN_08222	1520881	0.0	FUN_08222-T1
FUN_08223	1520881	1.12e-215	FUN_08223-T1
FUN_08224	1520881	2.1e-224	FUN_08224-T1
FUN_08225	1520881	1.64e-64	FUN_08225-T1
FUN_08226	112415	1.4699999999999999e-137	FUN_08226-T1
FUN_08227	1520881	1.81e-19	FUN_08227-T1
FUN_08228	716546	9.88e-91	FUN_08228-T1
FUN_08229	388435	1.08e-260	FUN_08229-T1
FUN_08230	1520881	6.21e-97	FUN_08230-T1
FUN_08231	1520881	2.78e-31	FUN_08231-T1
FUN_08232	1520881	1.93e-201	FUN_08232-T1
FUN_08233	1520881	1.72e-253	FUN_08233-T1
FUN_08234	78060	6.69e-26	FUN_08234-T1
FUN_08235	5094	1.74e-26	FUN_08235-T1
FUN_08236	716546	2.3299999999999997e-74	FUN_08236-T1
FUN_08237	1520881	1.6199999999999998e-94	FUN_08237-T1
FUN_08238	1520881	1.45e-87	FUN_08238-T1
FUN_08239	1520881	4.9099999999999996e-42	FUN_08239-T1
FUN_08240	1520881	3.1500000000000004e-169	FUN_08240-T1
FUN_08241	1520881	2.21e-11	FUN_08241-T1
FUN_08242	1520881	6.539999999999999e-55	FUN_08242-T1
FUN_08243	116794	6.66e-139	FUN_08243-T1
FUN_08244	116821	8.42e-71	FUN_08244-T1
FUN_08245	1520881	7.369999999999999e-81	FUN_08245-T1
FUN_08246	1328760	6.939999999999999e-180	FUN_08246-T1
FUN_08247	78060	6.67e-193	FUN_08247-T1
FUN_08248	1520881	7.88e-116	FUN_08248-T1
FUN_08249	1520881	1.37e-63	FUN_08249-T1
FUN_08250			FUN_08250-T1
FUN_08251	1520881	0.0	FUN_08251-T1
FUN_08252	1520881	3.05e-163	FUN_08252-T1
FUN_08253			FUN_08253-T1
FUN_08254	1520881	0.0	FUN_08254-T1
FUN_08255	1520881	1.07e-239	FUN_08255-T1
FUN_08256	1520881	1.6600000000000003e-27	FUN_08256-T1
FUN_08257	1520881	9.98e-112	FUN_08257-T1
FUN_08258	1520881	1.8099999999999998e-228	FUN_08258-T1
FUN_08259	112415	7.74e-65	FUN_08259-T1
FUN_08260	388435	3.68e-105	FUN_08260-T1
FUN_08261	1520881	1.7399999999999999e-149	FUN_08261-T1
FUN_08262	1520881	7.850000000000001e-72	FUN_08262-T1
FUN_08263	716546	2e-40	FUN_08263-T1
FUN_08264	78060	1.3099999999999999e-23	FUN_08264-T1
FUN_08265	1520881	5.8e-119	FUN_08265-T1
FUN_08266	1520881	9.44e-15	FUN_08266-T1
FUN_08267	1520881	3.7e-49	FUN_08267-T1
FUN_08268	1520881	4.67e-168	FUN_08268-T1
FUN_08269	1520881	9.110000000000001e-35	FUN_08269-T1
FUN_08270	1520881	2.72e-101	FUN_08270-T1
FUN_08271	1520881	1.91e-169	FUN_08271-T1
FUN_08272	716546	2.0899999999999999e-187	FUN_08272-T1
FUN_08273	716546	4e-70	FUN_08273-T1
FUN_08274	388435	8.34e-90	FUN_08274-T1
FUN_08275			FUN_08275-T1
FUN_08276			FUN_08276-T1
FUN_08277	78060	5.11e-83	FUN_08277-T1
FUN_08278	1520881	0.0	FUN_08278-T1
FUN_08279	716546	3.45e-49	FUN_08279-T1
FUN_08280	5178	1.12e-16	FUN_08280-T1
FUN_08281	1520881	7.6e-150	FUN_08281-T1
FUN_08282	1520881	1.08e-53	FUN_08282-T1
FUN_08283	147541	3.35e-20	FUN_08283-T1
FUN_08284	1520881	1.53e-50	FUN_08284-T1
FUN_08285	1520881	0.0	FUN_08285-T1
FUN_08286	1520881	0.0	FUN_08286-T1
FUN_08287	715989	7.42e-10	FUN_08287-T1
FUN_08288	1670608	6.92e-30	FUN_08288-T1
FUN_08289	78060	9.76e-161	FUN_08289-T1
FUN_08290	1520881	4.61e-148	FUN_08290-T1
FUN_08291	1520881	2.27e-83	FUN_08291-T1
FUN_08292	1520881	7.16e-80	FUN_08292-T1
FUN_08293			FUN_08293-T1
FUN_08294	78060	3.39e-158	FUN_08294-T1
FUN_08295	1520881	0.0	FUN_08295-T1
FUN_08296	1520881	2.01e-132	FUN_08296-T1
FUN_08297	1520881	5.92e-46	FUN_08297-T1
FUN_08298	1520881	1.77e-176	FUN_08298-T1
FUN_08299	1520881	3.94e-103	FUN_08299-T1
FUN_08300	1520881	5.74e-234	FUN_08300-T1
FUN_08301	116794	9.05e-119	FUN_08301-T1
FUN_08302	1520881	3.2599999999999996e-48	FUN_08302-T1
FUN_08303	1520881	1.5299999999999998e-61	FUN_08303-T1
FUN_08304	1520881	0.0	FUN_08304-T1
FUN_08305	1520881	2.4e-72	FUN_08305-T1
FUN_08306	78060	5.42e-218	FUN_08306-T1
FUN_08307	2608996	2.03e-09	FUN_08307-T1
FUN_08308	2608996	7.6e-05	FUN_08308-T1
FUN_08309	78060	2.26e-78	FUN_08309-T1
FUN_08310	388435	9.53e-243	FUN_08310-T1
FUN_08311	1520881	3.82e-14	FUN_08311-T1
FUN_08312	451871	3.97e-10	FUN_08312-T1
FUN_08313	716546	2.8200000000000003e-47	FUN_08313-T1
FUN_08314	716546	1.31e-36	FUN_08314-T1
FUN_08315	1520881	3.4e-230	FUN_08315-T1
FUN_08316	1520881	0.0	FUN_08316-T1
FUN_08317			FUN_08317-T1
FUN_08318	1520881	3.34e-214	FUN_08318-T1
FUN_08319	1520881	0.0	FUN_08319-T1
FUN_08320	1520881	8.43e-92	FUN_08320-T1
FUN_08321	1520881	5.900000000000001e-248	FUN_08321-T1
FUN_08322	78060	9.57e-145	FUN_08322-T1
FUN_08323	1520881	4.3199999999999996e-165	FUN_08323-T1
FUN_08324	78060	3.92e-47	FUN_08324-T1
FUN_08325	1520881	7.570000000000001e-235	FUN_08325-T1
FUN_08326	1520881	1.51e-147	FUN_08326-T1
FUN_08327	716546	3.0399999999999998e-152	FUN_08327-T1
FUN_08328	388435	0.0	FUN_08328-T1
FUN_08329	50934	3.01e-96	FUN_08329-T1
FUN_08330	716546	1.04e-67	FUN_08330-T1
FUN_08331	1520881	8.44e-52	FUN_08331-T1
FUN_08332	1520881	5.83e-163	FUN_08332-T1
FUN_08333	50934	1e-59	FUN_08333-T1
FUN_08334			FUN_08334-T1
FUN_08335	1520881	0.0	FUN_08335-T1
FUN_08336	1520881	1.61e-296	FUN_08336-T1
FUN_08337	50934	2.5e-87	FUN_08337-T1
FUN_08338	1520881	0.0	FUN_08338-T1
FUN_08339			FUN_08339-T1
FUN_08340	1520881	2.1e-113	FUN_08340-T1
FUN_08341	1520881	2.24e-56	FUN_08341-T1
FUN_08342	78060	5.950000000000001e-208	FUN_08342-T1
FUN_08343			FUN_08343-T1
FUN_08344	716546	4.5500000000000005e-56	FUN_08344-T1
FUN_08345	716546	7.21e-265	FUN_08345-T1
FUN_08346	716546	3.82e-20	FUN_08346-T1
FUN_08347	331657	1.6599999999999998e-45	FUN_08347-T1
FUN_08348	716546	0.0	FUN_08348-T1
FUN_08349	265104	3.67e-40	FUN_08349-T1
FUN_08350	716546	3.97e-69	FUN_08350-T1
FUN_08351	388435	1.39e-11	FUN_08351-T1
FUN_08352	1520881	6.86e-213	FUN_08352-T1
FUN_08353	716546	9.14e-10	FUN_08353-T1
FUN_08354	1520881	1.65e-24	FUN_08354-T1
FUN_08355			FUN_08355-T1
FUN_08356	716546	3.39e-75	FUN_08356-T1
FUN_08357			FUN_08357-T1
FUN_08358			FUN_08358-T1
FUN_08359	716546	1.98e-207	FUN_08359-T1
FUN_08360			FUN_08360-T1
FUN_08361	716546	1.25e-177	FUN_08361-T1
FUN_08362	716546	2.06e-115	FUN_08362-T1
FUN_08363	1520881	3.4500000000000005e-86	FUN_08363-T1
FUN_08364	1520881	1.99e-94	FUN_08364-T1
FUN_08365	1520881	0.0	FUN_08365-T1
FUN_08366	1520881	0.0	FUN_08366-T1
FUN_08367	1520881	4.49e-118	FUN_08367-T1
FUN_08368	388435	0.0	FUN_08368-T1
FUN_08369	388435	2.86e-101	FUN_08369-T1
FUN_08370	1520881	1.38e-149	FUN_08370-T1
FUN_08371	1520881	3.08e-75	FUN_08371-T1
FUN_08372	78060	7.4e-70	FUN_08372-T1
FUN_08373	716546	6.45e-31	FUN_08373-T1
FUN_08374	1520881	7.52e-91	FUN_08374-T1
FUN_08375	1520881	1.0800000000000001e-133	FUN_08375-T1
FUN_08376	1520881	3.21e-75	FUN_08376-T1
FUN_08377	50934	1.5100000000000002e-226	FUN_08377-T1
FUN_08378	1520881	0.0	FUN_08378-T1
FUN_08379			FUN_08379-T1
FUN_08380	1520881	1.19e-108	FUN_08380-T1
FUN_08381	78060	8e-186	FUN_08381-T1
FUN_08382			FUN_08382-T1
FUN_08383	78060	1.09e-205	FUN_08383-T1
FUN_08384	716546	2.27e-19	FUN_08384-T1
FUN_08385	1520881	5.72e-09	FUN_08385-T1
FUN_08386	2608996	4.6e-06	FUN_08386-T1
FUN_08387	78060	2.84e-156	FUN_08387-T1
FUN_08388	1520881	2.38e-51	FUN_08388-T1
FUN_08389	112415	9.67e-56	FUN_08389-T1
FUN_08390	85948	4.63e-47	FUN_08390-T1
FUN_08391	78060	8.08e-162	FUN_08391-T1
FUN_08392			FUN_08392-T1
FUN_08393	388435	2.42e-31	FUN_08393-T1
FUN_08394	1520881	5.89e-26	FUN_08394-T1
FUN_08395			FUN_08395-T1
FUN_08396	716546	8.399999999999999e-41	FUN_08396-T1
FUN_08397	716546	3.22e-40	FUN_08397-T1
FUN_08398	1520881	2.9500000000000003e-47	FUN_08398-T1
FUN_08399	1520881	2.35e-205	FUN_08399-T1
FUN_08400	1520881	3.87e-254	FUN_08400-T1
FUN_08401			FUN_08401-T1
FUN_08402			FUN_08402-T1
FUN_08403	1520881	1.63e-97	FUN_08403-T1
FUN_08404	1520881	3.66e-68	FUN_08404-T1
FUN_08405	716546	5.53e-40	FUN_08405-T1
FUN_08406	78060	7.29e-222	FUN_08406-T1
FUN_08407	147541	4.71e-34	FUN_08407-T1
FUN_08408	716546	1.1200000000000001e-210	FUN_08408-T1
FUN_08409	716546	3.48e-177	FUN_08409-T1
FUN_08410	716546	2.74e-09	FUN_08410-T1
FUN_08411	1520881	1.1e-233	FUN_08411-T1
FUN_08412	716546	1.19e-121	FUN_08412-T1
FUN_08413	1520881	3.98e-312	FUN_08413-T1
FUN_08414	716546	4.85e-39	FUN_08414-T1
FUN_08415	1520881	4.24e-86	FUN_08415-T1
FUN_08416	716546	9.02e-49	FUN_08416-T1
FUN_08417	1520881	1.87e-193	FUN_08417-T1
FUN_08418	716546	2.83e-99	FUN_08418-T1
FUN_08419	716546	9.87e-314	FUN_08419-T1
FUN_08420	2608996	1.99e-18	FUN_08420-T1
FUN_08421			FUN_08421-T1
FUN_08422	2608996	5.68e-60	FUN_08422-T1
FUN_08423			FUN_08423-T1
FUN_07814	1520881	2.32e-37	FUN_07814-T1
FUN_07815	2608996	6.13e-06	FUN_07815-T1
FUN_07816	716546	3.6500000000000003e-156	FUN_07816-T1
FUN_07817	716546	2.36e-39	FUN_07817-T1
FUN_07818	716546	5.71e-141	FUN_07818-T1
FUN_07819	716546	3.85e-261	FUN_07819-T1
FUN_07820	715989	1.97e-21	FUN_07820-T1
FUN_07821	147541	1.2e-06	FUN_07821-T1
FUN_07822	2608996	1.0399999999999998e-42	FUN_07822-T1
FUN_07823			FUN_07823-T1
FUN_07824	296797	5.46e-41	FUN_07824-T1
FUN_07825	1670608	2.98e-86	FUN_07825-T1
FUN_07826	1520881	2.2499999999999997e-285	FUN_07826-T1
FUN_07827			FUN_07827-T1
FUN_07828			FUN_07828-T1
FUN_07829	50934	2.1e-50	FUN_07829-T1
FUN_07830	112415	5.62e-11	FUN_07830-T1
FUN_07831			FUN_07831-T1
FUN_07832	1168221	5.16e-35	FUN_07832-T1
FUN_07833	2774352	4.78e-05	FUN_07833-T1
FUN_07834	1520881	0.000222	FUN_07834-T1
FUN_07835	78060	3.37e-272	FUN_07835-T1
FUN_07836	1520881	3e-138	FUN_07836-T1
FUN_07837	112416	2.91e-34	FUN_07837-T1
FUN_07838	716546	7.61e-243	FUN_07838-T1
FUN_07839	1520881	8.76e-92	FUN_07839-T1
FUN_07840	1520881	3.82e-275	FUN_07840-T1
FUN_07841	716546	1.93e-147	FUN_07841-T1
FUN_07842	1520881	2.59e-53	FUN_07842-T1
FUN_07843	1520881	3.85e-106	FUN_07843-T1
FUN_07844	1520881	2.4800000000000003e-37	FUN_07844-T1
FUN_07845	1520881	1.59e-98	FUN_07845-T1
FUN_07846	2211647	8.45e-11	FUN_07846-T1
FUN_07847	716546	1.22e-143	FUN_07847-T1
FUN_07848	78060	4.42e-65	FUN_07848-T1
FUN_07849	1520881	3.92e-84	FUN_07849-T1
FUN_07850	1520881	7.56e-230	FUN_07850-T1
FUN_07851	388435	3.2700000000000004e-58	FUN_07851-T1
FUN_07852	78060	2.5e-133	FUN_07852-T1
